,FileName,CustomerID,InvoiceID,Rating,Stars,Mstars
101,review00101.dat,4076,S06060700021,3/5,3,5
102,review00102.dat,1667,INV-09208400026,5/5,5,5
103,review00103.dat,8302,S19665000031,5/5,5,5
104,review00104.dat,6652,S24359400033,3/5,3,5
105,review00105.dat,6283,INV-04469200126,2/5,2,5
106,review00106.dat,4647,S20999100098,1/5,1,5
107,review00107.dat,1247,INV-06312300024,2/5,2,5
108,review00108.dat,8924,INV-09221400099,2/5,2,5
109,review00109.dat,3486,INV-05127000101,1/5,1,5
110,review00110.dat,6147,S15193100030,1/5,1,5
111,review00111.dat,8001,S16224200165,4/5,4,5
112,review00112.dat,1556,S10021100023,1/5,1,5
113,review00113.dat,5727,INV-09056100153,1/5,1,5
114,review00114.dat,5547,S30417000018,2/5,2,5
115,review00115.dat,6324,S05529800068,4/5,4,5
116,review00116.dat,4119,S17857200102,5/5,5,5
117,review00117.dat,6978,S31630600035,1/5,1,5
118,review00118.dat,2903,S26934600076,1/5,1,5
119,review00119.dat,6339,INV-01200000078,3/5,3,5
120,review00120.dat,4149,INV-07922600037,4/5,4,5
121,review00121.dat,8691,S09724900028,4/5,4,5
122,review00122.dat,6573,S26914400138,5/5,5,5
123,review00123.dat,2472,S09085100069,4/5,4,5
124,review00124.dat,7035,S33604800007,5/5,5,5
125,review00125.dat,4410,S32388500014,4/5,4,5
126,review00126.dat,7071,INV-09491000004,3/5,3,5
127,review00127.dat,9885,INV-07491900062,3/5,3,5
128,review00128.dat,8781,S11020200005,5/5,5,5
129,review00129.dat,5637,INV-04726400012,3/5,3,5
130,review00130.dat,8202,INV-00066400004,2/5,2,5
131,review00131.dat,5246,S09318600017,5/5,5,5
132,review00132.dat,6722,S22075700077,4/5,4,5
133,review00133.dat,2365,S22532000002,4/5,4,5
134,review00134.dat,4185,S06680300095,5/5,5,5
135,review00135.dat,3357,INV-05238300107,2/5,2,5
136,review00136.dat,6726,INV-00843400012,2/5,2,5
137,review00137.dat,8982,S19085800212,2/5,2,5
138,review00138.dat,3933,INV-07000200079,4/5,4,5
139,review00139.dat,1486,S14295900043,4/5,4,5
140,review00140.dat,8374,INV-07083700054,1/5,1,5
141,review00141.dat,8197,S06068300078,1/5,1,5
142,review00142.dat,2458,INV-05245600065,4/5,4,5
143,review00143.dat,4927,S25617500005,4/5,4,5
144,review00144.dat,9260,S15048500198,2/5,2,5
145,review00145.dat,3639,INV-08115000009,5/5,5,5
146,review00146.dat,3379,INV-07913100012,2/5,2,5
147,review00147.dat,7370,INV-06251300001,5/5,5,5
148,review00148.dat,3535,S13635800001,1/5,1,5
149,review00149.dat,9029,S22211900042,4/5,4,5
150,review00150.dat,1443,S06142000211,2/5,2,5
151,review00151.dat,2737,S18472000014,1/5,1,5
152,review00152.dat,3480,S22071300125,2/5,2,5
153,review00153.dat,7890,S32263000097,3/5,3,5
154,review00154.dat,6990,INV-09118200012,5/5,5,5
155,review00155.dat,6267,S27646500014,4/5,4,5
156,review00156.dat,9086,S13534800021,2/5,2,5
157,review00157.dat,6161,S25763900127,2/5,2,5
158,review00158.dat,7810,S19927800015,2/5,2,5
159,review00159.dat,7227,INV-09362100038,2/5,2,5
160,review00160.dat,7729,S25701600020,1/5,1,5
161,review00161.dat,1886,S28364400012,2/5,2,5
162,review00162.dat,6555,S29434300149,3/5,3,5
163,review00163.dat,1755,S04910700039,3/5,3,5
164,review00164.dat,4070,S04984600061,4/5,4,5
165,review00165.dat,2377,INV-09058000012,4/5,4,5
166,review00166.dat,1338,S17464100011,1/5,1,5
167,review00167.dat,2708,S32678400012,5/5,5,5
168,review00168.dat,2718,S25260200056,1/5,1,5
169,review00169.dat,5860,S09734400036,2/5,2,5
170,review00170.dat,6232,INV-03680000016,1/5,1,5
171,review00171.dat,8486,S33132600023,2/5,2,5
172,review00172.dat,6067,S32519100008,2/5,2,5
173,review00173.dat,6094,S33858800004,2/5,2,5
174,review00174.dat,6461,S30557700008,5/5,5,5
175,review00175.dat,2921,S30903300053,3/5,3,5
176,review00176.dat,8001,S23743000106,4/5,4,5
177,review00177.dat,3302,S06914000016,4/5,4,5
178,review00178.dat,3792,S14084300021,4/5,4,5
179,review00179.dat,1722,S28592200143,1/5,1,5
180,review00180.dat,1725,INV-02789300009,2/5,2,5
181,review00181.dat,1072,S29006100059,2/5,2,5
182,review00182.dat,3667,S09686300159,1/5,1,5
183,review00183.dat,1910,S29543800047,3/5,3,5
184,review00184.dat,5804,S29667200006,5/5,5,5
185,review00185.dat,4053,S09177900372,3/5,3,5
186,review00186.dat,4080,S33981200030,3/5,3,5
187,review00187.dat,4667,S13492400028,4/5,4,5
188,review00188.dat,7426,S20760900047,4/5,4,5
189,review00189.dat,6111,S15130300016,1/5,1,5
190,review00190.dat,5433,S06833300046,5/5,5,5
191,review00191.dat,6046,INV-07494000108,4/5,4,5
192,review00192.dat,2737,S18950600047,5/5,5,5
193,review00193.dat,1974,S19077700132,4/5,4,5
194,review00194.dat,5937,INV-05130700015,4/5,4,5
195,review00195.dat,1381,S11199500050,3/5,3,5
196,review00196.dat,8988,S07275500012,5/5,5,5
197,review00197.dat,5366,S17225000004,5/5,5,5
198,review00198.dat,9348,S19487500048,1/5,1,5
199,review00199.dat,9717,INV-05830900012,1/5,1,5
200,review00200.dat,1706,S15827200092,1/5,1,5
201,review00201.dat,9968,S32152200198,1/5,1,5
202,review00202.dat,3588,S22727000103,2/5,2,5
203,review00203.dat,9299,S20501500008,5/5,5,5
204,review00204.dat,7253,INV-06990200127,1/5,1,5
205,review00205.dat,8231,S20887700074,5/5,5,5
206,review00206.dat,4743,S24961800032,3/5,3,5
207,review00207.dat,9161,S13789500111,2/5,2,5
208,review00208.dat,9746,S11697500001,4/5,4,5
209,review00209.dat,6626,INV-02009200062,2/5,2,5
210,review00210.dat,9518,S28175200010,1/5,1,5
211,review00211.dat,7860,INV-03933800081,3/5,3,5
212,review00212.dat,1989,INV-03808800208,2/5,2,5
213,review00213.dat,6963,S30485000003,1/5,1,5
214,review00214.dat,2291,S08574600086,2/5,2,5
215,review00215.dat,2326,S24716900076,5/5,5,5
216,review00216.dat,6041,S15026600095,4/5,4,5
217,review00217.dat,8658,S12298100033,1/5,1,5
218,review00218.dat,9348,S29561200052,5/5,5,5
219,review00219.dat,9431,S32618700036,3/5,3,5
220,review00220.dat,9667,S06314300026,3/5,3,5
221,review00221.dat,7581,S23029700048,5/5,5,5
222,review00222.dat,7053,S22917700077,4/5,4,5
223,review00223.dat,2242,S27018000044,5/5,5,5
224,review00224.dat,9747,S17097800029,1/5,1,5
225,review00225.dat,5009,S06074700012,4/5,4,5
226,review00226.dat,6400,S06910700043,2/5,2,5
227,review00227.dat,2259,S34054300010,2/5,2,5
228,review00228.dat,7624,INV-07088600005,5/5,5,5
229,review00229.dat,5803,S33212400009,5/5,5,5
230,review00230.dat,8196,S06783800024,4/5,4,5
231,review00231.dat,9366,S17070700017,3/5,3,5
232,review00232.dat,6672,S31142700026,2/5,2,5
233,review00233.dat,9355,S07896500090,3/5,3,5
234,review00234.dat,1257,S32511100005,3/5,3,5
235,review00235.dat,1776,S21593600073,3/5,3,5
236,review00236.dat,8220,S14759600029,1/5,1,5
237,review00237.dat,7443,S33852100015,2/5,2,5
238,review00238.dat,9059,S08383300025,1/5,1,5
239,review00239.dat,4925,INV-00594900110,3/5,3,5
240,review00240.dat,4022,INV-01870600071,1/5,1,5
241,review00241.dat,1897,S21134100051,5/5,5,5
242,review00242.dat,5291,INV-04602700003,5/5,5,5
243,review00243.dat,9625,S32130800044,1/5,1,5
244,review00244.dat,8143,S29574700014,1/5,1,5
245,review00245.dat,2737,INV-01141800039,4/5,4,5
246,review00246.dat,6334,INV-04129700050,5/5,5,5
247,review00247.dat,5674,S31922800005,1/5,1,5
248,review00248.dat,5458,INV-04003400012,4/5,4,5
249,review00249.dat,3284,S14020100012,1/5,1,5
250,review00250.dat,3181,INV-03543300094,2/5,2,5
251,review00251.dat,8162,S26885900037,2/5,2,5
252,review00252.dat,9771,S07493400045,4/5,4,5
253,review00253.dat,3408,S18588500004,1/5,1,5
254,review00254.dat,2893,S11359000004,2/5,2,5
255,review00255.dat,6757,S25092200039,1/5,1,5
256,review00256.dat,3723,S16857300021,4/5,4,5
257,review00257.dat,9684,INV-08396700008,2/5,2,5
258,review00258.dat,7423,S06900800046,2/5,2,5
259,review00259.dat,2111,S24913400115,2/5,2,5
260,review00260.dat,8226,S29094100011,1/5,1,5
261,review00261.dat,4519,S32231200005,3/5,3,5
262,review00262.dat,6241,INV-08105800252,1/5,1,5
263,review00263.dat,6574,S13200800141,4/5,4,5
264,review00264.dat,8944,S06195600020,3/5,3,5
265,review00265.dat,7364,S33856300078,5/5,5,5
266,review00266.dat,8435,S29984800032,3/5,3,5
267,review00267.dat,3949,S04504400097,3/5,3,5
268,review00268.dat,8189,S33737100068,4/5,4,5
269,review00269.dat,9123,S04990800024,3/5,3,5
270,review00270.dat,7624,S21664300008,2/5,2,5
271,review00271.dat,4150,S26769800016,3/5,3,5
272,review00272.dat,5701,INV-04855000108,2/5,2,5
273,review00273.dat,1601,S03788400011,3/5,3,5
274,review00274.dat,7856,S26508800209,3/5,3,5
275,review00275.dat,3583,S20096800040,2/5,2,5
276,review00276.dat,3157,S11590400022,5/5,5,5
277,review00277.dat,8264,S14977900025,1/5,1,5
278,review00278.dat,2549,S21271000131,5/5,5,5
279,review00279.dat,6594,S22588400066,5/5,5,5
280,review00280.dat,5402,S21062800005,4/5,4,5
281,review00281.dat,3054,S19093200028,5/5,5,5
282,review00282.dat,5372,S25861500009,1/5,1,5
283,review00283.dat,2865,INV-00582900039,3/5,3,5
284,review00284.dat,4815,S09504700160,2/5,2,5
285,review00285.dat,6766,S06551200053,1/5,1,5
286,review00286.dat,6278,S22719700017,4/5,4,5
287,review00287.dat,1086,INV-07913300103,3/5,3,5
288,review00288.dat,1621,S33482400077,5/5,5,5
289,review00289.dat,5613,S22906300033,5/5,5,5
290,review00290.dat,3571,S15178600038,5/5,5,5
291,review00291.dat,8919,INV-05655600021,5/5,5,5
292,review00292.dat,7732,S12258600024,2/5,2,5
293,review00293.dat,1101,INV-04194300085,5/5,5,5
294,review00294.dat,1801,S19353200147,4/5,4,5
295,review00295.dat,7528,S20816700008,5/5,5,5
296,review00296.dat,4283,S29798200052,1/5,1,5
297,review00297.dat,4145,S26895700050,5/5,5,5
298,review00298.dat,4434,INV-03939700006,5/5,5,5
299,review00299.dat,5704,INV-06453300001,2/5,2,5
300,review00300.dat,2198,S28722400039,1/5,1,5
301,review00301.dat,7774,INV-00924500049,5/5,5,5
302,review00302.dat,5516,INV-06584300002,3/5,3,5
303,review00303.dat,1897,S08292500003,4/5,4,5
304,review00304.dat,4591,INV-03809600007,4/5,4,5
305,review00305.dat,9556,INV-08693500044,4/5,4,5
306,review00306.dat,3980,S10769200012,4/5,4,5
307,review00307.dat,7501,S27410400038,5/5,5,5
308,review00308.dat,5386,S32264900022,1/5,1,5
309,review00309.dat,4023,INV-03681400036,4/5,4,5
310,review00310.dat,6197,S08257200002,1/5,1,5
311,review00311.dat,5646,S09476500062,3/5,3,5
312,review00312.dat,4381,INV-08908900085,4/5,4,5
313,review00313.dat,6444,S18154300051,1/5,1,5
314,review00314.dat,2239,S07911900026,4/5,4,5
315,review00315.dat,5507,INV-05660900051,4/5,4,5
316,review00316.dat,7213,S24142200033,1/5,1,5
317,review00317.dat,6010,S10479600003,4/5,4,5
318,review00318.dat,6311,S06553200171,1/5,1,5
319,review00319.dat,4085,INV-03937600110,5/5,5,5
320,review00320.dat,6573,S20018900012,1/5,1,5
321,review00321.dat,7819,S13120200050,5/5,5,5
322,review00322.dat,7034,S31773900024,3/5,3,5
323,review00323.dat,1448,INV-05921900137,5/5,5,5
324,review00324.dat,4039,S23770300144,3/5,3,5
325,review00325.dat,1279,S17850500002,2/5,2,5
326,review00326.dat,2033,S27268700016,4/5,4,5
327,review00327.dat,6225,S11219000017,3/5,3,5
328,review00328.dat,6122,S17844500119,4/5,4,5
329,review00329.dat,9232,S24967400060,3/5,3,5
330,review00330.dat,8016,INV-07577000002,1/5,1,5
331,review00331.dat,5444,S11602600046,2/5,2,5
332,review00332.dat,3535,S08849800041,1/5,1,5
333,review00333.dat,8603,S15996300054,5/5,5,5
334,review00334.dat,8334,S24589300015,4/5,4,5
335,review00335.dat,4538,S18576800081,5/5,5,5
336,review00336.dat,3554,S30074300018,3/5,3,5
337,review00337.dat,4373,INV-00745100178,2/5,2,5
338,review00338.dat,8973,S05727900042,3/5,3,5
339,review00339.dat,1852,S11335800031,3/5,3,5
340,review00340.dat,4748,S24717600005,2/5,2,5
341,review00341.dat,2733,S14968600022,3/5,3,5
342,review00342.dat,3371,S21946000145,5/5,5,5
343,review00343.dat,2847,S15935900137,4/5,4,5
344,review00344.dat,8169,S14642400157,3/5,3,5
345,review00345.dat,7562,S30182000022,1/5,1,5
346,review00346.dat,2461,S23731100009,3/5,3,5
347,review00347.dat,7738,INV-01079500012,1/5,1,5
348,review00348.dat,3011,S15368600048,3/5,3,5
349,review00349.dat,8894,S29210900023,3/5,3,5
350,review00350.dat,3796,S12006800012,5/5,5,5
351,review00351.dat,8170,S22313700125,2/5,2,5
352,review00352.dat,2702,S14204800210,3/5,3,5
353,review00353.dat,8232,INV-07086700043,5/5,5,5
354,review00354.dat,8264,S27714900006,5/5,5,5
355,review00355.dat,3064,S11597700027,4/5,4,5
356,review00356.dat,8016,S19763200217,4/5,4,5
357,review00357.dat,5837,INV-03404900011,4/5,4,5
358,review00358.dat,2930,S30826200007,5/5,5,5
359,review00359.dat,4970,S12607700011,4/5,4,5
360,review00360.dat,2673,S23037300013,3/5,3,5
361,review00361.dat,6433,S23863900041,2/5,2,5
362,review00362.dat,8851,S19097100021,5/5,5,5
363,review00363.dat,5397,S12478600081,4/5,4,5
364,review00364.dat,7708,S03961900056,3/5,3,5
365,review00365.dat,5771,S33899400057,1/5,1,5
366,review00366.dat,8874,S17857000012,1/5,1,5
367,review00367.dat,9162,S16365500006,1/5,1,5
368,review00368.dat,7402,S29671800002,1/5,1,5
369,review00369.dat,5578,S16440800011,2/5,2,5
370,review00370.dat,4105,INV-00922900081,4/5,4,5
371,review00371.dat,1816,S22919800025,5/5,5,5
372,review00372.dat,8483,INV-00182800036,2/5,2,5
373,review00373.dat,3826,S05478400022,4/5,4,5
374,review00374.dat,8572,INV-09069700023,4/5,4,5
375,review00375.dat,7763,S08869900049,3/5,3,5
376,review00376.dat,2395,S08757100110,2/5,2,5
377,review00377.dat,5859,S29077600009,5/5,5,5
378,review00378.dat,3745,INV-02311200205,5/5,5,5
379,review00379.dat,7336,S26829800004,4/5,4,5
380,review00380.dat,8466,S30406900012,3/5,3,5
381,review00381.dat,5466,S06623900292,3/5,3,5
382,review00382.dat,3256,S31171400026,4/5,4,5
383,review00383.dat,8488,S28637000033,4/5,4,5
384,review00384.dat,7947,S20276000020,2/5,2,5
385,review00385.dat,2074,S04453000078,5/5,5,5
386,review00386.dat,2455,S23347500028,5/5,5,5
387,review00387.dat,6713,S31036000124,2/5,2,5
388,review00388.dat,4227,S24283100031,3/5,3,5
389,review00389.dat,6814,S23272700180,1/5,1,5
390,review00390.dat,6392,S09604600025,3/5,3,5
391,review00391.dat,2984,S29656500003,5/5,5,5
392,review00392.dat,7372,INV-05383600020,2/5,2,5
393,review00393.dat,8978,INV-01351900005,3/5,3,5
394,review00394.dat,2166,S20898100003,1/5,1,5
395,review00395.dat,3456,INV-08102200137,5/5,5,5
396,review00396.dat,1190,INV-04129300029,1/5,1,5
397,review00397.dat,6769,S14921300054,5/5,5,5
398,review00398.dat,9979,INV-06574800012,3/5,3,5
399,review00399.dat,2987,S06345000044,2/5,2,5
400,review00400.dat,5136,S17463000010,1/5,1,5
401,review00401.dat,3554,S21051500043,2/5,2,5
402,review00402.dat,9412,S07634500049,3/5,3,5
403,review00403.dat,3319,S32176400007,4/5,4,5
404,review00404.dat,4893,INV-09366800013,1/5,1,5
405,review00405.dat,6526,INV-00453400086,5/5,5,5
406,review00406.dat,1499,S17925300034,3/5,3,5
407,review00407.dat,5381,S07191800057,2/5,2,5
408,review00408.dat,9366,INV-02012700028,5/5,5,5
409,review00409.dat,6170,S18957100020,2/5,2,5
410,review00410.dat,4139,S18701000135,1/5,1,5
411,review00411.dat,2575,S17100100021,4/5,4,5
412,review00412.dat,2004,INV-02457300028,3/5,3,5
413,review00413.dat,1817,S33361500105,4/5,4,5
414,review00414.dat,6311,S21325900046,2/5,2,5
415,review00415.dat,4870,INV-04603600021,3/5,3,5
416,review00416.dat,6045,S23284500002,3/5,3,5
417,review00417.dat,1161,S25291500032,1/5,1,5
418,review00418.dat,3154,INV-04729100008,1/5,1,5
419,review00419.dat,1241,S09131300062,2/5,2,5
420,review00420.dat,2367,S27727700024,4/5,4,5
421,review00421.dat,5893,S32010000113,4/5,4,5
422,review00422.dat,4080,S30092800002,2/5,2,5
423,review00423.dat,8122,S25557900017,4/5,4,5
424,review00424.dat,2387,S23118900057,5/5,5,5
425,review00425.dat,1784,S12496100027,1/5,1,5
426,review00426.dat,9456,S26119000052,5/5,5,5
427,review00427.dat,7950,S23732700040,1/5,1,5
428,review00428.dat,9965,S07585200002,5/5,5,5
429,review00429.dat,8884,S28631600101,3/5,3,5
430,review00430.dat,6697,S04032300030,1/5,1,5
431,review00431.dat,4248,S09474300077,3/5,3,5
432,review00432.dat,5728,S04343600112,4/5,4,5
433,review00433.dat,7042,S28075300022,2/5,2,5
434,review00434.dat,8136,S07191300006,3/5,3,5
435,review00435.dat,8846,S26384900014,1/5,1,5
436,review00436.dat,3378,S22305900009,5/5,5,5
437,review00437.dat,2312,S14778900021,4/5,4,5
438,review00438.dat,2227,S23620300026,1/5,1,5
439,review00439.dat,8911,S26186000005,2/5,2,5
440,review00440.dat,2384,S25498100005,2/5,2,5
441,review00441.dat,3864,INV-03405600006,1/5,1,5
442,review00442.dat,8116,INV-01199100003,3/5,3,5
443,review00443.dat,8428,INV-00183000033,1/5,1,5
444,review00444.dat,1185,S34090600019,3/5,3,5
445,review00445.dat,1685,INV-07689800046,1/5,1,5
446,review00446.dat,8841,S18208100008,2/5,2,5
447,review00447.dat,6591,S27342000056,5/5,5,5
448,review00448.dat,4508,S24605200184,3/5,3,5
449,review00449.dat,2605,S31025200007,3/5,3,5
450,review00450.dat,6691,INV-06437100016,3/5,3,5
451,review00451.dat,8339,S08412200012,5/5,5,5
452,review00452.dat,6351,S20751200023,4/5,4,5
453,review00453.dat,5056,INV-00453400028,5/5,5,5
454,review00454.dat,6837,INV-04191300009,2/5,2,5
455,review00455.dat,3663,S09426000006,2/5,2,5
456,review00456.dat,6703,S33606900093,4/5,4,5
457,review00457.dat,1484,S09978500013,4/5,4,5
458,review00458.dat,6664,INV-04665000023,2/5,2,5
459,review00459.dat,4524,INV-04796000014,3/5,3,5
460,review00460.dat,4607,S18472000020,2/5,2,5
461,review00461.dat,8624,S03660900034,3/5,3,5
462,review00462.dat,7805,INV-08247900001,1/5,1,5
463,review00463.dat,3796,S27039400103,1/5,1,5
464,review00464.dat,2446,S04693500044,3/5,3,5
465,review00465.dat,4328,S11170000216,1/5,1,5
466,review00466.dat,9426,S27407800087,1/5,1,5
467,review00467.dat,3210,S29112800136,5/5,5,5
468,review00468.dat,9205,S32163700007,1/5,1,5
469,review00469.dat,5828,S09851400134,1/5,1,5
470,review00470.dat,2083,S20320500027,5/5,5,5
471,review00471.dat,7142,S32594400019,3/5,3,5
472,review00472.dat,4921,S09012700176,4/5,4,5
473,review00473.dat,6558,S10486200018,1/5,1,5
474,review00474.dat,6737,S29039400092,5/5,5,5
475,review00475.dat,4927,S07848100004,3/5,3,5
476,review00476.dat,6174,INV-08098200146,1/5,1,5
477,review00477.dat,7335,S15591400165,2/5,2,5
478,review00478.dat,1827,INV-03039200147,5/5,5,5
479,review00479.dat,2347,S03587900007,2/5,2,5
480,review00480.dat,9381,S20466900006,2/5,2,5
481,review00481.dat,9819,S12129900033,4/5,4,5
482,review00482.dat,4432,S22195500021,3/5,3,5
483,review00483.dat,6428,S23894200015,5/5,5,5
484,review00484.dat,7030,S29332800010,5/5,5,5
485,review00485.dat,6392,S29867000045,3/5,3,5
486,review00486.dat,5382,S28466500158,4/5,4,5
487,review00487.dat,5291,S13407200232,5/5,5,5
488,review00488.dat,7877,S25873900113,1/5,1,5
489,review00489.dat,8329,INV-07494900002,1/5,1,5
490,review00490.dat,1763,S22918000006,5/5,5,5
491,review00491.dat,7238,S07155200030,5/5,5,5
492,review00492.dat,6927,S14202100008,4/5,4,5
493,review00493.dat,2129,INV-04665500032,1/5,1,5
494,review00494.dat,9414,S23992900046,2/5,2,5
495,review00495.dat,3304,INV-00333000056,1/5,1,5
496,review00496.dat,2446,INV-05139800043,4/5,4,5
497,review00497.dat,5277,S20130600092,2/5,2,5
498,review00498.dat,9982,S29132300001,5/5,5,5
499,review00499.dat,6674,S11024300071,4/5,4,5
500,review00500.dat,1967,INV-02540200112,4/5,4,5
501,review00501.dat,2562,INV-08542600012,4/5,4,5
502,review00502.dat,6204,INV-03751400009,3/5,3,5
503,review00503.dat,6979,INV-08552300114,2/5,2,5
504,review00504.dat,8783,S08568800115,1/5,1,5
505,review00505.dat,6081,S23487200029,1/5,1,5
506,review00506.dat,4381,S05086200028,1/5,1,5
507,review00507.dat,2446,S19763200053,3/5,3,5
508,review00508.dat,7073,S12253500046,1/5,1,5
509,review00509.dat,9746,INV-03557200012,5/5,5,5
510,review00510.dat,6226,S22883000032,4/5,4,5
511,review00511.dat,4290,S16347700093,2/5,2,5
512,review00512.dat,7004,S29541300024,3/5,3,5
513,review00513.dat,7479,S06474200068,2/5,2,5
514,review00514.dat,2644,S08794700078,5/5,5,5
515,review00515.dat,3867,S25422000048,5/5,5,5
516,review00516.dat,2231,S30420400109,3/5,3,5
517,review00517.dat,8080,S17732600017,1/5,1,5
518,review00518.dat,8702,INV-03550300050,5/5,5,5
519,review00519.dat,1877,S32937100013,4/5,4,5
520,review00520.dat,8698,S05247700009,2/5,2,5
521,review00521.dat,3478,S19668400048,3/5,3,5
522,review00522.dat,8096,S30450800035,3/5,3,5
523,review00523.dat,3680,S32390900020,2/5,2,5
524,review00524.dat,4838,INV-03429600007,2/5,2,5
525,review00525.dat,7745,INV-04991100083,1/5,1,5
