FileName,CostumerID,InvoiceID,Review,Stars,Mstars
review00261.dat,4519,S32231200005,3/5,3,5
review00262.dat,6241,INV-08105800252,1/5,1,5
review00263.dat,6574,S13200800141,4/5,4,5
review00264.dat,8944,S06195600020,3/5,3,5
review00265.dat,7364,S33856300078,5/5,5,5
review00266.dat,8435,S29984800032,3/5,3,5
review00267.dat,3949,S04504400097,3/5,3,5
review00268.dat,8189,S33737100068,4/5,4,5
review00269.dat,9123,S04990800024,3/5,3,5
review00270.dat,7624,S21664300008,2/5,2,5
review00271.dat,4150,S26769800016,3/5,3,5
review00272.dat,5701,INV-04855000108,2/5,2,5
review00273.dat,1601,S03788400011,3/5,3,5
review00274.dat,7856,S26508800209,3/5,3,5
review00275.dat,3583,S20096800040,2/5,2,5
review00276.dat,3157,S11590400022,5/5,5,5
review00277.dat,8264,S14977900025,1/5,1,5
review00278.dat,2549,S21271000131,5/5,5,5
review00279.dat,6594,S22588400066,5/5,5,5
review00280.dat,5402,S21062800005,4/5,4,5
review00281.dat,3054,S19093200028,5/5,5,5
review00282.dat,5372,S25861500009,1/5,1,5
review00283.dat,2865,INV-00582900039,3/5,3,5
review00284.dat,4815,S09504700160,2/5,2,5
review00285.dat,6766,S06551200053,1/5,1,5
review00286.dat,6278,S22719700017,4/5,4,5
review00287.dat,1086,INV-07913300103,3/5,3,5
review00288.dat,1621,S33482400077,5/5,5,5
review00289.dat,5613,S22906300033,5/5,5,5
review00290.dat,3571,S15178600038,5/5,5,5
review00291.dat,8919,INV-05655600021,5/5,5,5
review00292.dat,7732,S12258600024,2/5,2,5
review00293.dat,1101,INV-04194300085,5/5,5,5
review00294.dat,1801,S19353200147,4/5,4,5
review00295.dat,7528,S20816700008,5/5,5,5
review00296.dat,4283,S29798200052,1/5,1,5
review00297.dat,4145,S26895700050,5/5,5,5
review00298.dat,4434,INV-03939700006,5/5,5,5
review00299.dat,5704,INV-06453300001,2/5,2,5
review00300.dat,2198,S28722400039,1/5,1,5
review00301.dat,7774,INV-00924500049,5/5,5,5
review00302.dat,5516,INV-06584300002,3/5,3,5
review00303.dat,1897,S08292500003,4/5,4,5
review00304.dat,4591,INV-03809600007,4/5,4,5
review00305.dat,9556,INV-08693500044,4/5,4,5
review00306.dat,3980,S10769200012,4/5,4,5
review00307.dat,7501,S27410400038,5/5,5,5
review00308.dat,5386,S32264900022,1/5,1,5
review00309.dat,4023,INV-03681400036,4/5,4,5
review00310.dat,6197,S08257200002,1/5,1,5
review00311.dat,5646,S09476500062,3/5,3,5
review00312.dat,4381,INV-08908900085,4/5,4,5
review00313.dat,6444,S18154300051,1/5,1,5
review00314.dat,2239,S07911900026,4/5,4,5
review00315.dat,5507,INV-05660900051,4/5,4,5
review00316.dat,7213,S24142200033,1/5,1,5
review00317.dat,6010,S10479600003,4/5,4,5
review00318.dat,6311,S06553200171,1/5,1,5
review00319.dat,4085,INV-03937600110,5/5,5,5
review00320.dat,6573,S20018900012,1/5,1,5
review00321.dat,7819,S13120200050,5/5,5,5
review00322.dat,7034,S31773900024,3/5,3,5
review00323.dat,1448,INV-05921900137,5/5,5,5
review00324.dat,4039,S23770300144,3/5,3,5
review00325.dat,1279,S17850500002,2/5,2,5
review00326.dat,2033,S27268700016,4/5,4,5
review00327.dat,6225,S11219000017,3/5,3,5
review00328.dat,6122,S17844500119,4/5,4,5
review00329.dat,9232,S24967400060,3/5,3,5
review00330.dat,8016,INV-07577000002,1/5,1,5
review00331.dat,5444,S11602600046,2/5,2,5
review00332.dat,3535,S08849800041,1/5,1,5
review00333.dat,8603,S15996300054,5/5,5,5
review00334.dat,8334,S24589300015,4/5,4,5
review00335.dat,4538,S18576800081,5/5,5,5
review00336.dat,3554,S30074300018,3/5,3,5
review00337.dat,4373,INV-00745100178,2/5,2,5
review00338.dat,8973,S05727900042,3/5,3,5
review00339.dat,1852,S11335800031,3/5,3,5
review00340.dat,4748,S24717600005,2/5,2,5
review00341.dat,2733,S14968600022,3/5,3,5
review00342.dat,3371,S21946000145,5/5,5,5
review00343.dat,2847,S15935900137,4/5,4,5
review00344.dat,8169,S14642400157,3/5,3,5
review00345.dat,7562,S30182000022,1/5,1,5
review00346.dat,2461,S23731100009,3/5,3,5
review00347.dat,7738,INV-01079500012,1/5,1,5
review00348.dat,3011,S15368600048,3/5,3,5
review00349.dat,8894,S29210900023,3/5,3,5
review00350.dat,3796,S12006800012,5/5,5,5
review00351.dat,8170,S22313700125,2/5,2,5
review00352.dat,2702,S14204800210,3/5,3,5
review00353.dat,8232,INV-07086700043,5/5,5,5
review00354.dat,8264,S27714900006,5/5,5,5
review00355.dat,3064,S11597700027,4/5,4,5
review00356.dat,8016,S19763200217,4/5,4,5
review00357.dat,5837,INV-03404900011,4/5,4,5
review00358.dat,2930,S30826200007,5/5,5,5
review00359.dat,4970,S12607700011,4/5,4,5
review00360.dat,2673,S23037300013,3/5,3,5
review00361.dat,6433,S23863900041,2/5,2,5
review00362.dat,8851,S19097100021,5/5,5,5
review00363.dat,5397,S12478600081,4/5,4,5
review00364.dat,7708,S03961900056,3/5,3,5
review00365.dat,5771,S33899400057,1/5,1,5
review00366.dat,8874,S17857000012,1/5,1,5
review00367.dat,9162,S16365500006,1/5,1,5
review00368.dat,7402,S29671800002,1/5,1,5
review00369.dat,5578,S16440800011,2/5,2,5
review00370.dat,4105,INV-00922900081,4/5,4,5
review00371.dat,1816,S22919800025,5/5,5,5
review00372.dat,8483,INV-00182800036,2/5,2,5
review00373.dat,3826,S05478400022,4/5,4,5
review00374.dat,8572,INV-09069700023,4/5,4,5
review00375.dat,7763,S08869900049,3/5,3,5
review00376.dat,2395,S08757100110,2/5,2,5
review00377.dat,5859,S29077600009,5/5,5,5
review00378.dat,3745,INV-02311200205,5/5,5,5
review00379.dat,7336,S26829800004,4/5,4,5
review00380.dat,8466,S30406900012,3/5,3,5
review00381.dat,5466,S06623900292,3/5,3,5
review00382.dat,3256,S31171400026,4/5,4,5
review00383.dat,8488,S28637000033,4/5,4,5
review00384.dat,7947,S20276000020,2/5,2,5
review00385.dat,2074,S04453000078,5/5,5,5
review00386.dat,2455,S23347500028,5/5,5,5
review00387.dat,6713,S31036000124,2/5,2,5
review00388.dat,4227,S24283100031,3/5,3,5
review00389.dat,6814,S23272700180,1/5,1,5
review00390.dat,6392,S09604600025,3/5,3,5
review00391.dat,2984,S29656500003,5/5,5,5
review00392.dat,7372,INV-05383600020,2/5,2,5
review00393.dat,8978,INV-01351900005,3/5,3,5
review00394.dat,2166,S20898100003,1/5,1,5
review00395.dat,3456,INV-08102200137,5/5,5,5
review00396.dat,1190,INV-04129300029,1/5,1,5
review00397.dat,6769,S14921300054,5/5,5,5
review00398.dat,9979,INV-06574800012,3/5,3,5
review00399.dat,2987,S06345000044,2/5,2,5
review00400.dat,5136,S17463000010,1/5,1,5
review00401.dat,3554,S21051500043,2/5,2,5
review00402.dat,9412,S07634500049,3/5,3,5
review00403.dat,3319,S32176400007,4/5,4,5
review00404.dat,4893,INV-09366800013,1/5,1,5
review00405.dat,6526,INV-00453400086,5/5,5,5
review00406.dat,1499,S17925300034,3/5,3,5
review00407.dat,5381,S07191800057,2/5,2,5
review00408.dat,9366,INV-02012700028,5/5,5,5
review00409.dat,6170,S18957100020,2/5,2,5
review00410.dat,4139,S18701000135,1/5,1,5
review00411.dat,2575,S17100100021,4/5,4,5
review00412.dat,2004,INV-02457300028,3/5,3,5
review00413.dat,1817,S33361500105,4/5,4,5
review00414.dat,6311,S21325900046,2/5,2,5
review00415.dat,4870,INV-04603600021,3/5,3,5
review00416.dat,6045,S23284500002,3/5,3,5
review00417.dat,1161,S25291500032,1/5,1,5
review00418.dat,3154,INV-04729100008,1/5,1,5
review00419.dat,1241,S09131300062,2/5,2,5
review00420.dat,2367,S27727700024,4/5,4,5
review00421.dat,5893,S32010000113,4/5,4,5
review00422.dat,4080,S30092800002,2/5,2,5
review00423.dat,8122,S25557900017,4/5,4,5
review00424.dat,2387,S23118900057,5/5,5,5
review00425.dat,1784,S12496100027,1/5,1,5
review00426.dat,9456,S26119000052,5/5,5,5
review00427.dat,7950,S23732700040,1/5,1,5
review00428.dat,9965,S07585200002,5/5,5,5
review00429.dat,8884,S28631600101,3/5,3,5
review00430.dat,6697,S04032300030,1/5,1,5
review00431.dat,4248,S09474300077,3/5,3,5
review00432.dat,5728,S04343600112,4/5,4,5
review00433.dat,7042,S28075300022,2/5,2,5
review00434.dat,8136,S07191300006,3/5,3,5
review00435.dat,8846,S26384900014,1/5,1,5
review00436.dat,3378,S22305900009,5/5,5,5
review00437.dat,2312,S14778900021,4/5,4,5
review00438.dat,2227,S23620300026,1/5,1,5
review00439.dat,8911,S26186000005,2/5,2,5
review00440.dat,2384,S25498100005,2/5,2,5
review00441.dat,3864,INV-03405600006,1/5,1,5
review00442.dat,8116,INV-01199100003,3/5,3,5
review00443.dat,8428,INV-00183000033,1/5,1,5
review00444.dat,1185,S34090600019,3/5,3,5
review00445.dat,1685,INV-07689800046,1/5,1,5
review00446.dat,8841,S18208100008,2/5,2,5
review00447.dat,6591,S27342000056,5/5,5,5
review00448.dat,4508,S24605200184,3/5,3,5
review00449.dat,2605,S31025200007,3/5,3,5
review00450.dat,6691,INV-06437100016,3/5,3,5
review00451.dat,8339,S08412200012,5/5,5,5
review00452.dat,6351,S20751200023,4/5,4,5
review00453.dat,5056,INV-00453400028,5/5,5,5
review00454.dat,6837,INV-04191300009,2/5,2,5
review00455.dat,3663,S09426000006,2/5,2,5
review00456.dat,6703,S33606900093,4/5,4,5
review00457.dat,1484,S09978500013,4/5,4,5
review00458.dat,6664,INV-04665000023,2/5,2,5
review00459.dat,4524,INV-04796000014,3/5,3,5
review00460.dat,4607,S18472000020,2/5,2,5
review00461.dat,8624,S03660900034,3/5,3,5
review00462.dat,7805,INV-08247900001,1/5,1,5
review00463.dat,3796,S27039400103,1/5,1,5
review00464.dat,2446,S04693500044,3/5,3,5
review00465.dat,4328,S11170000216,1/5,1,5
review00466.dat,9426,S27407800087,1/5,1,5
review00467.dat,3210,S29112800136,5/5,5,5
review00468.dat,9205,S32163700007,1/5,1,5
review00469.dat,5828,S09851400134,1/5,1,5
review00470.dat,2083,S20320500027,5/5,5,5
review00471.dat,7142,S32594400019,3/5,3,5
review00472.dat,4921,S09012700176,4/5,4,5
review00473.dat,6558,S10486200018,1/5,1,5
review00474.dat,6737,S29039400092,5/5,5,5
review00475.dat,4927,S07848100004,3/5,3,5
review00476.dat,6174,INV-08098200146,1/5,1,5
review00477.dat,7335,S15591400165,2/5,2,5
review00478.dat,1827,INV-03039200147,5/5,5,5
review00479.dat,2347,S03587900007,2/5,2,5
review00480.dat,9381,S20466900006,2/5,2,5
review00481.dat,9819,S12129900033,4/5,4,5
review00482.dat,4432,S22195500021,3/5,3,5
review00483.dat,6428,S23894200015,5/5,5,5
review00484.dat,7030,S29332800010,5/5,5,5
review00485.dat,6392,S29867000045,3/5,3,5
review00486.dat,5382,S28466500158,4/5,4,5
review00487.dat,5291,S13407200232,5/5,5,5
review00488.dat,7877,S25873900113,1/5,1,5
review00489.dat,8329,INV-07494900002,1/5,1,5
review00490.dat,1763,S22918000006,5/5,5,5
review00491.dat,7238,S07155200030,5/5,5,5
review00492.dat,6927,S14202100008,4/5,4,5
review00493.dat,2129,INV-04665500032,1/5,1,5
review00494.dat,9414,S23992900046,2/5,2,5
review00495.dat,3304,INV-00333000056,1/5,1,5
review00496.dat,2446,INV-05139800043,4/5,4,5
review00497.dat,5277,S20130600092,2/5,2,5
review00498.dat,9982,S29132300001,5/5,5,5
review00499.dat,6674,S11024300071,4/5,4,5
review00500.dat,1967,INV-02540200112,4/5,4,5
review00501.dat,2562,INV-08542600012,4/5,4,5
review00502.dat,6204,INV-03751400009,3/5,3,5
review00503.dat,6979,INV-08552300114,2/5,2,5
review00504.dat,8783,S08568800115,1/5,1,5
review00505.dat,6081,S23487200029,1/5,1,5
review00506.dat,4381,S05086200028,1/5,1,5
review00507.dat,2446,S19763200053,3/5,3,5
review00508.dat,7073,S12253500046,1/5,1,5
review00509.dat,9746,INV-03557200012,5/5,5,5
review00510.dat,6226,S22883000032,4/5,4,5
review00511.dat,4290,S16347700093,2/5,2,5
review00512.dat,7004,S29541300024,3/5,3,5
review00513.dat,7479,S06474200068,2/5,2,5
review00514.dat,2644,S08794700078,5/5,5,5
review00515.dat,3867,S25422000048,5/5,5,5
review00516.dat,2231,S30420400109,3/5,3,5
review00517.dat,8080,S17732600017,1/5,1,5
review00518.dat,8702,INV-03550300050,5/5,5,5
review00519.dat,1877,S32937100013,4/5,4,5
review00520.dat,8698,S05247700009,2/5,2,5
review00521.dat,3478,S19668400048,3/5,3,5
review00522.dat,8096,S30450800035,3/5,3,5
review00523.dat,3680,S32390900020,2/5,2,5
review00524.dat,4838,INV-03429600007,2/5,2,5
review00525.dat,7745,INV-04991100083,1/5,1,5
review00526.dat,5334,S27178900035,4/5,4,5
review00527.dat,7681,INV-05130600065,1/5,1,5
review00528.dat,2701,S15707500074,3/5,3,5
review00529.dat,7695,S31034300014,4/5,4,5
review00530.dat,4963,S06289500083,5/5,5,5
review00531.dat,7092,S23641700098,2/5,2,5
review00532.dat,2157,S20704000068,4/5,4,5
review00533.dat,3772,S05584300008,4/5,4,5
review00534.dat,4852,S16587400204,5/5,5,5
review00535.dat,5845,S30961100020,3/5,3,5
review00536.dat,7632,S04838200070,1/5,1,5
review00537.dat,1062,INV-09056300021,4/5,4,5
review00538.dat,6753,S15836200007,5/5,5,5
review00539.dat,5697,S06546200012,2/5,2,5
review00540.dat,7638,S33052400010,3/5,3,5
review00541.dat,6606,S23505200004,4/5,4,5
review00542.dat,8911,S12670600047,2/5,2,5
review00543.dat,8010,S26375800007,3/5,3,5
review00544.dat,3594,S32629500282,3/5,3,5
review00545.dat,5027,INV-00453500008,4/5,4,5
review00546.dat,6010,S23153200015,2/5,2,5
review00547.dat,7498,S29923500111,3/5,3,5
review00548.dat,1919,S22642900034,3/5,3,5
review00549.dat,2384,INV-03936200030,1/5,1,5
review00550.dat,6202,S10660800063,5/5,5,5
review00551.dat,1418,S25218300046,3/5,3,5
review00552.dat,5858,S20509900045,3/5,3,5
review00553.dat,5458,S16464200162,1/5,1,5
review00554.dat,7063,S31277500011,5/5,5,5
review00555.dat,4800,S13617400025,4/5,4,5
review00556.dat,2025,S18214800006,1/5,1,5
review00557.dat,2195,INV-02787600023,5/5,5,5
review00558.dat,6402,S03725300224,2/5,2,5
review00559.dat,2157,S21540700264,1/5,1,5
review00560.dat,3208,S28631600093,4/5,4,5
review00561.dat,9043,INV-07909800002,4/5,4,5
review00562.dat,5368,S24355800095,4/5,4,5
review00563.dat,2313,S29109100009,5/5,5,5
review00564.dat,1144,S04347000040,2/5,2,5
review00565.dat,9177,S32467200026,1/5,1,5
review00566.dat,2260,S32327100009,3/5,3,5
review00567.dat,8529,S27717700098,1/5,1,5
review00568.dat,9847,INV-00844500056,4/5,4,5
review00569.dat,9278,S28872000006,5/5,5,5
