Item_id,Item_Description,Category,Pack,Bottle_Volume_ml,Bottle_Cost,Bottle_Retail_Price
312,Armin's Berry Mix,Fruit Punch,6,750.0,3.61,5.42
314,Armin's Tropical Fruit Punch,Fruit Punch,4,750.0,5.18,7.77
316,Asuna's Fruit Punch,Fruit Punch,6,750.0,3.12,4.68
322,Belia's Golden Ginger Ale,Ginger Ale,24,200.0,1.92,2.88
324,Asuna's Berry Mix,Fruit Punch,30,200.0,2.44,3.66
327,Asuna's Tropical Fruit Punch,Fruit Punch,6,750.0,4.44,6.66
335,Azusa's Fruit Punch,Fruit Punch,6,750.0,3.33,5.14
339,Azusa's Berry Mix,Fruit Punch,6,3600.0,2.91,4.36
349,Azusa's Tropical Fruit Punch,Fruit Punch,12,750.0,2.91,4.37
352,Ban's Fruit Punch,Fruit Punch,12,750.0,2.48,3.9
353,Ban's Berry Mix,Fruit Punch,6,750.0,4.32,6.48
359,Ban's Tropical Fruit Punch,Fruit Punch,4,1750.0,6.01,9.02
361,Belia's Fruit Punch,Fruit Punch,6,750.0,3.37,5.06
363,Belia's Berry Mix,Fruit Punch,6,950.0,2.91,4.36
364,Killua's Grapefruit Soda,Grapefruit Soda,6,750.0,2.91,4.36
401,Belia's Tropical Fruit Punch,Fruit Punch,6,750.0,4.68,7.02
402,Byakuya's Fruit Punch,Fruit Punch,6,750.0,3.45,5.18
403,Byakuya's Berry Mix,Fruit Punch,6,750.0,2.87,4.42
407,Byakuya's Tropical Fruit Punch,Fruit Punch,6,900.0,2.98,4.47
411,C.C.'s Fruit Punch,Fruit Punch,6,750.0,3.42,5.13
413,C.C.'s Berry Mix,Fruit Punch,6,750.0,2.91,4.37
424,C.C.'s Tropical Fruit Punch,Fruit Punch,6,750.0,2.91,4.36
428,Celty's Fruit Punch,Fruit Punch,6,750.0,3.41,5.12
433,Celty's Berry Mix,Fruit Punch,6,750.0,2.91,4.37
434,Celty's Tropical Fruit Punch,Fruit Punch,6,750.0,2.98,4.47
447,Chika's Fruit Punch,Fruit Punch,6,750.0,4.25,6.38
454,Chika's Berry Mix,Fruit Punch,6,750.0,4.31,6.47
456,Chika's Tropical Fruit Punch,Fruit Punch,6,850.0,4.38,6.57
457,Chitoge's Fruit Punch,Fruit Punch,6,750.0,4.46,6.69
464,Saitama's Old Fashioned Cream Soda,Cream Soda,6,2550.0,4.74,7.11
470,Chitoge's Berry Mix,Fruit Punch,6,750.0,3.62,5.43
472,Chitoge's Tropical Fruit Punch,Fruit Punch,6,750.0,3.62,5.43
475,Ban's Big Blue,Blueberry Soda,12,750.0,2.96,4.44
477,Esdeath's Energy,Energy Drink,10,600.0,2.21,3.32
479,Kiritsugu's Grapefruit Soda,Grapefruit Soda,12,50.0,2.13,3.2
483,Chopper's Fruit Punch,Fruit Punch,6,750.0,3.12,4.68
490,Chopper's Berry Mix,Fruit Punch,10,600.0,4.32,6.48
494,Chopper's Tropical Fruit Punch,Fruit Punch,3,1750.0,6.49,9.74
497,Ciel's Fruit Punch,Fruit Punch,6,750.0,3.12,4.68
498,Ciel's Berry Mix,Fruit Punch,6,750.0,3.69,5.54
502,Ciel's Tropical Fruit Punch,Fruit Punch,6,750.0,3.69,5.54
525,Conan's Fruit Punch,Fruit Punch,6,750.0,3.72,5.58
552,Conan's Berry Mix,Fruit Punch,6,750.0,3.25,4.88
557,Byakuya's Ginger Soda,Ginger Ale,15,400.0,2.2,3.3
558,Conan's Tropical Fruit Punch,Fruit Punch,4,1750.0,6.01,9.02
559,Ban's Blueberry Pop,Blueberry Soda,4,750.0,5.18,7.77
561,Daiki's Fruit Punch,Fruit Punch,6,850.0,5.16,7.74
571,Daiki's Berry Mix,Fruit Punch,6,750.0,3.55,5.33
574,Byakuya's Ginger Ale,Ginger Ale,1,4500.0,11.22,16.83
580,Daiki's Tropical Fruit Punch,Fruit Punch,6,750.0,2.69,4.8
593,Dante's Fruit Punch,Fruit Punch,6,750.0,2.91,4.36
594,Dante's Berry Mix,Fruit Punch,3,1750.0,3.61,5.42
597,Dante's Tropical Fruit Punch,Fruit Punch,6,750.0,3.33,5.0
614,Kisuke's Grapefruit Soda,Grapefruit Soda,6,750.0,3.26,4.89
619,Deishuu's Fruit Punch,Fruit Punch,6,750.0,3.12,4.68
629,Deishuu's Berry Mix,Fruit Punch,6,750.0,3.12,4.68
631,Deishuu's Tropical Fruit Punch,Fruit Punch,6,750.0,5.02,7.53
632,Dia's Fruit Punch,Fruit Punch,6,750.0,3.59,5.39
633,Konata's Grapefruit Soda,Grapefruit Soda,24,50.0,2.06,3.09
641,Dia's Berry Mix,Fruit Punch,6,1750.0,4.32,6.48
643,Dia's Tropical Fruit Punch,Fruit Punch,6,750.0,2.98,4.47
644,Dio's Fruit Punch,Fruit Punch,6,800.0,2.89,4.34
647,Dio's Berry Mix,Fruit Punch,6,800.0,3.05,4.58
658,Dio's Tropical Fruit Punch,Fruit Punch,6,800.0,4.79,7.19
663,Eater's Fruit Punch,Fruit Punch,12,750.0,3.45,5.18
665,Eater's Berry Mix,Fruit Punch,6,950.0,2.91,4.36
680,Eater's Tropical Fruit Punch,Fruit Punch,12,850.0,2.56,3.84
686,Edward's Fruit Punch,Fruit Punch,6,950.0,2.91,4.36
692,Edward's Berry Mix,Fruit Punch,6,1850.0,5.94,8.91
693,Edward's Tropical Fruit Punch,Fruit Punch,6,750.0,3.55,5.33
699,Eikichi's Fruit Punch,Fruit Punch,6,750.0,4.46,6.69
706,Eikichi's Berry Mix,Fruit Punch,6,750.0,3.33,5.0
717,Eikichi's Tropical Fruit Punch,Fruit Punch,6,750.0,3.26,4.89
721,Sakura's Old Fashioned Cream Soda,Cream Soda,6,750.0,7.14,10.71
725,Ban's Blueberry Soda,Blueberry Soda,1,6000.0,8.9,13.35
730,Emilia's Fruit Punch,Fruit Punch,6,950.0,3.12,4.68
734,Emilia's Berry Mix,Fruit Punch,12,850.0,3.12,4.68
758,Kosaki's Grapefruit Soda,Grapefruit Soda,6,750.0,4.6,6.9
760,Emilia's Tropical Fruit Punch,Fruit Punch,6,750.0,3.36,5.04
770,Eren's Fruit Punch,Fruit Punch,6,750.0,4.24,6.36
772,Eren's Berry Mix,Fruit Punch,6,750.0,2.91,4.36
780,Eren's Tropical Fruit Punch,Fruit Punch,6,1850.0,5.94,8.91
781,Erena's Fruit Punch,Fruit Punch,12,750.0,3.54,5.31
788,Erena's Berry Mix,Fruit Punch,6,950.0,3.05,4.58
789,Erena's Tropical Fruit Punch,Fruit Punch,6,750.0,2.61,3.92
796,Akane's Old Fashioned Cream Soda,Cream Soda,4,1125.0,7.63,11.44
808,Eri's Fruit Punch,Fruit Punch,6,750.0,3.2,4.8
813,Eri's Berry Mix,Fruit Punch,6,1750.0,6.24,9.36
817,Eri's Tropical Fruit Punch,Fruit Punch,30,150.0,1.7,2.55
818,Eru's Fruit Punch,Fruit Punch,6,750.0,3.05,4.58
821,Akame's Watermelon Cream,Cream Soda,6,500.0,3.04,4.56
826,Eru's Berry Mix,Fruit Punch,6,750.0,4.17,6.26
828,Rin's Root Beer,Root Beer,8,600.0,2.22,3.33
831,Eru's Tropical Fruit Punch,Fruit Punch,6,750.0,4.95,7.43
832,Kid's Old Fashioned Cream Soda,Cream Soda,12,750.0,3.83,5.75
837,Erza's Fruit Punch,Fruit Punch,6,600.0,5.37,8.79
843,Erza's Berry Mix,Fruit Punch,3,750.0,9.31,13.97
855,Erza's Tropical Fruit Punch,Fruit Punch,6,750.0,2.61,3.92
859,Esdeath's Fruit Punch,Fruit Punch,6,750.0,5.25,7.88
861,Esdeath's Berry Mix,Fruit Punch,6,750.0,2.98,4.47
863,Esdeath's Tropical Fruit Punch,Fruit Punch,6,750.0,4.6,6.9
866,Françoise's Fruit Punch,Fruit Punch,3,750.0,19.82,29.73
867,Françoise's Berry Mix,Fruit Punch,6,750.0,3.41,5.12
874,Françoise's Tropical Fruit Punch,Fruit Punch,6,850.0,4.49,6.82
881,Kotarou's Grapefruit Soda,Grapefruit Soda,6,750.0,3.69,5.54
893,Belia's Big Blue,Blueberry Soda,6,750.0,4.17,6.26
934,Gaara's Fruit Punch,Fruit Punch,12,750.0,3.55,5.33
952,Gaara's Berry Mix,Fruit Punch,6,750.0,3.55,5.33
969,Gaara's Tropical Fruit Punch,Fruit Punch,12,750.0,3.41,5.12
1012,Gilgamesh's Fruit Punch,Fruit Punch,6,750.0,4.31,6.46
1014,Gilgamesh's Berry Mix,Fruit Punch,6,900.0,4.6,6.9
1025,Gilgamesh's Tropical Fruit Punch,Fruit Punch,6,800.0,4.81,7.22
1051,Ginko's Fruit Punch,Fruit Punch,6,750.0,4.0,6.09
1071,Ginko's Berry Mix,Fruit Punch,12,750.0,4.11,6.17
1176,Ginko's Tropical Fruit Punch,Fruit Punch,6,800.0,9.95,14.93
1221,Gintoki's Fruit Punch,Fruit Punch,6,750.0,4.46,6.69
1224,Nozomi's Old Fashioned Cream Soda,Cream Soda,6,750.0,4.53,6.8
1258,Gintoki's Berry Mix,Fruit Punch,6,400.0,3.59,5.39
1334,Gintoki's Tropical Fruit Punch,Fruit Punch,6,750.0,3.71,5.56
1343,Gohan's Fruit Punch,Fruit Punch,6,750.0,2.75,4.12
1361,Gohan's Berry Mix,Fruit Punch,6,750.0,3.12,4.68
1377,Gohan's Tropical Fruit Punch,Fruit Punch,6,750.0,3.26,4.89
1399,Gokuu's Fruit Punch,Fruit Punch,4,1750.0,5.87,8.8
1400,Gokuu's Berry Mix,Fruit Punch,6,750.0,3.58,5.37
1408,Gokuu's Tropical Fruit Punch,Fruit Punch,12,800.0,3.51,5.27
1437,Gon's Fruit Punch,Fruit Punch,6,750.0,3.19,4.78
1475,Belia's Blueberry Pop,Blueberry Soda,6,750.0,3.4,5.1
1488,Belia's Blueberry Soda,Blueberry Soda,6,750.0,3.66,5.49
1500,Gon's Berry Mix,Fruit Punch,6,750.0,3.54,5.31
1643,Gon's Tropical Fruit Punch,Fruit Punch,12,750.0,4.11,6.17
1751,Gray's Fruit Punch,Fruit Punch,3,1750.0,3.5,5.25
1799,Killua's Energy,Energy Drink,6,1750.0,4.04,6.06
1814,Gray's Berry Mix,Fruit Punch,6,750.0,2.62,3.93
1838,Gray's Tropical Fruit Punch,Fruit Punch,3,1750.0,3.82,5.73
1876,Grell's Fruit Punch,Fruit Punch,6,750.0,3.26,4.89
1931,Grell's Berry Mix,Fruit Punch,12,750.0,4.67,7.01
1989,Grell's Tropical Fruit Punch,Fruit Punch,6,750.0,3.39,5.31
1996,Griffith's Fruit Punch,Fruit Punch,6,750.0,4.38,6.57
2070,Taiga's Orange Soda,Orange Soda,6,750.0,5.73,8.6
2140,Griffith's Berry Mix,Fruit Punch,6,800.0,4.18,6.27
2226,Griffith's Tropical Fruit Punch,Fruit Punch,6,1750.0,2.83,4.24
2228,Grimmjow's Fruit Punch,Fruit Punch,6,750.0,5.12,7.68
2229,Grimmjow's Berry Mix,Fruit Punch,12,750.0,2.13,3.2
2249,Grimmjow's Tropical Fruit Punch,Fruit Punch,12,750.0,2.35,3.53
2313,Guts's Fruit Punch,Fruit Punch,6,750.0,2.57,3.86
2368,Ryuk's Lime,Lime Soda,6,750.0,4.03,6.05
2380,Guts's Berry Mix,Fruit Punch,12,800.0,4.53,6.8
2381,Guts's Tropical Fruit Punch,Fruit Punch,6,750.0,3.92,5.88
2393,Hachiman's Fruit Punch,Fruit Punch,6,750.0,3.72,5.58
2511,Kotori's Grapefruit Soda,Grapefruit Soda,6,750.0,2.35,3.53
2618,Hachiman's Berry Mix,Fruit Punch,15,200.0,1.79,2.68
2629,Riko's Craft Root Beer,Root Beer,6,750.0,2.96,4.44
2666,Hachiman's Tropical Fruit Punch,Fruit Punch,24,200.0,2.27,3.41
2677,Rikka's Family Secret Black Cherry,Cherry Soda,12,200.0,2.44,3.66
2737,Koyomi's Grapefruit Soda,Grapefruit Soda,6,750.0,4.46,6.69
2849,Hanamaru's Fruit Punch,Fruit Punch,4,750.0,5.18,7.77
2870,Hanamaru's Berry Mix,Fruit Punch,6,750.0,3.37,5.06
2878,Hanamaru's Tropical Fruit Punch,Fruit Punch,3,1750.0,4.3,6.45
2889,Hanayo's Fruit Punch,Fruit Punch,24,250.0,1.99,2.99
2912,Seira's Family Secret Black Cherry,Cherry Soda,24,250.0,2.06,3.09
2916,Hanayo's Berry Mix,Fruit Punch,6,750.0,2.59,3.88
2918,Byakuya's Plum and Ginger,Ginger Ale,1,2250.0,7.63,11.44
2928,Hanayo's Tropical Fruit Punch,Fruit Punch,20,301.0,1.97,2.96
2935,Haruhi's Fruit Punch,Fruit Punch,6,750.0,2.56,3.84
2945,Haruhi's Berry Mix,Fruit Punch,6,750.0,2.58,3.87
2946,Haruhi's Tropical Fruit Punch,Fruit Punch,6,750.0,2.56,3.84
2959,Haruko's Fruit Punch,Fruit Punch,6,750.0,4.69,7.04
2992,Byakuya's Big Blue,Blueberry Soda,6,750.0,3.09,4.64
3005,Byakuya's Blueberry Pop,Blueberry Soda,6,750.0,4.12,6.18
3036,Françoise's Energy Booster,Energy Drink,2,3000.0,5.72,8.58
3051,Kaname's Family Secret Black Cherry,Cherry Soda,1,3000.0,5.75,8.63
3118,Kaname's Red Pop,Cherry Soda,3,2000.0,5.26,7.89
3120,Haruko's Berry Mix,Fruit Punch,12,750.0,3.55,5.33
3135,Haruko's Tropical Fruit Punch,Fruit Punch,12,750.0,3.2,4.8
3136,Hei's Fruit Punch,Fruit Punch,12,750.0,3.2,4.8
3138,Hei's Berry Mix,Fruit Punch,12,750.0,3.2,4.8
3201,Hei's Tropical Fruit Punch,Fruit Punch,6,1750.0,3.05,4.58
3221,Hideko's Fruit Punch,Fruit Punch,6,750.0,3.05,4.58
3224,Hideko's Berry Mix,Fruit Punch,6,750.0,3.05,4.58
3277,Hideko's Tropical Fruit Punch,Fruit Punch,6,750.0,4.32,6.48
3285,Mayoi's Root Beer,Root Beer,2,3000.0,7.08,10.62
3301,Hikaru's Fruit Punch,Fruit Punch,6,1500.0,3.71,5.57
3309,Hikaru's Berry Mix,Fruit Punch,12,375.0,2.42,3.63
3310,Hikaru's Tropical Fruit Punch,Fruit Punch,12,750.0,3.2,4.8
3326,Himeko's Fruit Punch,Fruit Punch,6,750.0,2.49,3.74
3333,Himeko's Berry Mix,Fruit Punch,6,750.0,2.62,3.93
3334,Himeko's Tropical Fruit Punch,Fruit Punch,6,750.0,3.54,5.31
3337,Byakuya's Blueberry Soda,Blueberry Soda,6,750.0,2.98,4.47
3342,Seira's Red Pop,Cherry Soda,24,250.0,2.06,3.09
3345,C.C.'s Big Blue,Blueberry Soda,6,750.0,2.58,3.87
3346,Hinata's Fruit Punch,Fruit Punch,6,750.0,3.4,5.1
3347,Kurisu's Grapefruit Soda,Grapefruit Soda,6,750.0,3.54,5.31
3348,Hinata's Berry Mix,Fruit Punch,4,750.0,5.16,7.74
3355,Hinata's Tropical Fruit Punch,Fruit Punch,6,750.0,2.89,4.34
3360,Kurumi's Grapefruit Soda,Grapefruit Soda,6,750.0,3.26,4.89
3373,Hisoka's Fruit Punch,Fruit Punch,2,3000.0,9.1,13.65
3381,Hisoka's Berry Mix,Fruit Punch,6,750.0,3.2,4.8
3382,Hisoka's Tropical Fruit Punch,Fruit Punch,6,750.0,2.81,4.22
3396,Hitagi's Fruit Punch,Fruit Punch,6,750.0,2.84,4.26
3402,Hitagi's Berry Mix,Fruit Punch,6,1750.0,3.97,5.96
3403,Hitagi's Tropical Fruit Punch,Fruit Punch,6,800.0,4.11,6.17
3438,Dio's Cola,Cola,4,750.0,4.78,7.17
3465,Holo's Fruit Punch,Fruit Punch,6,750.0,3.61,5.42
3495,Holo's Berry Mix,Fruit Punch,6,750.0,3.07,4.61
3496,Holo's Tropical Fruit Punch,Fruit Punch,6,750.0,3.54,5.31
3526,Homura's Fruit Punch,Fruit Punch,20,150.0,2.92,4.38
3614,Homura's Berry Mix,Fruit Punch,4,750.0,5.09,7.63
3620,Homura's Tropical Fruit Punch,Fruit Punch,6,750.0,3.07,4.61
3637,Honoka's Fruit Punch,Fruit Punch,6,750.0,2.98,4.47
3655,Dia's Kola,Cola,6,750.0,4.45,6.68
3656,Dio's Kola,Cola,6,750.0,5.52,8.28
3657,Kotori's Cane Cola,Cola,6,750.0,4.68,7.02
3685,Honoka's Berry Mix,Fruit Punch,6,750.0,2.76,4.14
3697,Honoka's Tropical Fruit Punch,Fruit Punch,6,750.0,5.87,8.8
3710,Houtarou's Fruit Punch,Fruit Punch,6,750.0,3.26,5.15
3711,Houtarou's Berry Mix,Fruit Punch,6,1750.0,3.61,5.53
3789,Houtarou's Tropical Fruit Punch,Fruit Punch,6,750.0,3.92,5.88
3872,Howl's Fruit Punch,Fruit Punch,6,750.0,8.2,12.3
3887,Howl's Berry Mix,Fruit Punch,6,1000.0,3.93,5.9
3888,Howl's Tropical Fruit Punch,Fruit Punch,3,1750.0,4.88,7.32
3891,Ichigo's Fruit Punch,Fruit Punch,6,750.0,4.25,6.38
3898,Ichigo's Berry Mix,Fruit Punch,12,750.0,2.89,4.34
3899,Ichigo's Tropical Fruit Punch,Fruit Punch,6,750.0,2.62,3.93
3916,Seira's Wild Cherry,Cherry Soda,24,250.0,2.06,3.09
3952,Erena's Golden Ginger Ale,Ginger Ale,4,600.0,2.25,3.38
3953,Ikuto's Fruit Punch,Fruit Punch,6,750.0,2.49,3.74
3954,Ikuto's Berry Mix,Fruit Punch,6,750.0,4.31,6.46
3963,Ikuto's Tropical Fruit Punch,Fruit Punch,6,750.0,3.26,4.89
3964,Kiritsugu's Energy Booster,Energy Drink,6,500.0,2.62,3.93
3981,Inori's Fruit Punch,Fruit Punch,6,850.0,3.9,5.85
3984,Inori's Berry Mix,Fruit Punch,1,750.0,20.83,31.3
4000,Shinobu's Watermelon Cream,Cream Soda,6,750.0,4.88,7.32
4001,Inori's Tropical Fruit Punch,Fruit Punch,6,750.0,2.98,4.47
4002,Inuyasha's Fruit Punch,Fruit Punch,6,750.0,2.98,4.47
4020,Inuyasha's Berry Mix,Fruit Punch,3,1750.0,6.12,9.18
4025,Inuyasha's Tropical Fruit Punch,Fruit Punch,6,750.0,3.29,4.94
4029,Ippo's Fruit Punch,Fruit Punch,6,1000.0,4.6,6.9
4032,Byakuya's Ginger Beer,Ginger Ale,1,2250.0,7.63,11.44
4041,Ippo's Berry Mix,Fruit Punch,4,1125.0,7.63,11.44
4043,C.C.'s Blueberry Pop,Blueberry Soda,6,750.0,3.2,4.8
4044,C.C.'s Blueberry Soda,Blueberry Soda,6,750.0,3.2,4.8
4047,Ippo's Tropical Fruit Punch,Fruit Punch,6,400.0,2.35,3.53
4048,Issei's Fruit Punch,Fruit Punch,12,750.0,3.2,4.8
4055,Issei's Berry Mix,Fruit Punch,6,750.0,3.09,4.64
4063,Issei's Tropical Fruit Punch,Fruit Punch,6,750.0,3.92,5.88
4067,Itachi's Fruit Punch,Fruit Punch,6,750.0,3.19,4.79
4071,Itachi's Berry Mix,Fruit Punch,6,750.0,2.98,4.47
4079,Itachi's Tropical Fruit Punch,Fruit Punch,6,750.0,4.32,6.48
4084,Saitama's Watermelon Cream,Cream Soda,6,750.0,5.02,7.53
4090,Saitama's Vanilla Cream Soda,Cream Soda,6,750.0,7.77,11.66
4096,Sakura's Vanilla Cream Soda,Cream Soda,6,750.0,5.02,7.53
4109,Izaya's Fruit Punch,Fruit Punch,6,1950.0,4.0,6.0
4111,Sanji's Old Fashioned Cream Soda,Cream Soda,6,750.0,7.13,10.7
4113,Takashi's Orange Soda,Orange Soda,3,750.0,60.69,91.04
4114,Izaya's Berry Mix,Fruit Punch,6,750.0,3.26,4.89
4115,Izaya's Tropical Fruit Punch,Fruit Punch,6,750.0,3.72,5.58
4119,Izayoi's Fruit Punch,Fruit Punch,6,900.0,2.54,3.81
4127,Izayoi's Berry Mix,Fruit Punch,6,1950.0,4.0,6.0
4128,Izayoi's Tropical Fruit Punch,Fruit Punch,6,1950.0,3.58,5.37
4129,Izuku's Fruit Punch,Fruit Punch,6,1950.0,3.58,5.37
4131,Izuku's Berry Mix,Fruit Punch,6,750.0,3.05,4.57
4137,Izuku's Tropical Fruit Punch,Fruit Punch,6,750.0,3.6,5.4
4139,Sesshoumaru's Gourmet Black Cherry Soda,Cherry Soda,10,600.0,2.35,3.53
4150,Jiraiya's Fruit Punch,Fruit Punch,6,750.0,2.89,4.34
4178,Niko's Watermelon Cream,Cream Soda,6,750.0,4.46,6.69
4190,Nozomi's Watermelon Cream,Cream Soda,6,750.0,6.68,10.02
4197,Nozomu's Watermelon Cream,Cream Soda,6,750.0,5.05,7.58
4356,Sakura's Watermelon Cream,Cream Soda,12,750.0,6.24,9.36
4357,Sanji's Watermelon Cream,Cream Soda,6,750.0,12.89,19.34
4367,Sanji's Vanilla Cream Soda,Cream Soda,6,750.0,6.29,9.44
4374,Sanji's Cream Soda,Cream Soda,6,750.0,9.74,14.61
4376,Sasuke's Cream Soda,Cream Soda,12,750.0,7.59,11.38
4381,Sasuke's Watermelon Cream,Cream Soda,3,750.0,18.58,27.87
4556,Nozomu's Old Fashioned Cream Soda,Cream Soda,12,750.0,3.61,5.42
4610,Osamu's Old Fashioned Cream Soda,Cream Soda,6,750.0,13.41,20.12
4616,Osamu's Cream Soda,Cream Soda,6,750.0,7.07,10.61
4624,Nozomu's Vanilla Cream Soda,Cream Soda,24,375.0,3.26,4.89
4626,Osamu's Vanilla Cream Soda,Cream Soda,12,750.0,4.6,6.9
4636,Sasuke's Old Fashioned Cream Soda,Cream Soda,6,750.0,5.01,7.51
4646,Rei's Old Fashioned Cream Soda,Cream Soda,6,750.0,4.46,6.69
4656,Satsuki's Old Fashioned Cream Soda,Cream Soda,6,750.0,6.86,10.29
4657,Satsuki's Cream Soda,Cream Soda,6,750.0,8.88,13.32
4716,Osamu's Watermelon Cream,Cream Soda,12,750.0,4.0,6.09
4717,Rei's Watermelon Cream,Cream Soda,12,1000.0,4.95,7.33
4718,Rei's Vanilla Cream Soda,Cream Soda,6,1750.0,6.15,9.5
4723,Rei's Cream Soda,Cream Soda,6,750.0,6.43,9.65
4725,Rem's Cream Soda,Cream Soda,12,375.0,2.47,4.04
4796,Rem's Watermelon Cream,Cream Soda,12,750.0,3.18,4.77
4797,Rem's Old Fashioned Cream Soda,Cream Soda,12,1000.0,3.64,5.46
4798,Rena's Old Fashioned Cream Soda,Cream Soda,6,1750.0,4.87,7.31
4825,Rena's Cream Soda,Cream Soda,6,750.0,5.73,8.6
4846,Sasuke's Vanilla Cream Soda,Cream Soda,12,750.0,6.15,9.23
4853,Akane's Watermelon Cream,Cream Soda,6,750.0,3.86,5.79
4854,Satsuki's Vanilla Cream Soda,Cream Soda,6,750.0,4.54,6.81
4863,Rem's Vanilla Cream Soda,Cream Soda,48,200.0,2.44,3.66
4864,Rena's Vanilla Cream Soda,Cream Soda,24,375.0,2.49,3.74
4866,Revy's Old Fashioned Cream Soda,Cream Soda,12,750.0,3.43,5.15
4867,Rena's Watermelon Cream,Cream Soda,12,1000.0,3.88,5.82
4868,Revy's Watermelon Cream,Cream Soda,6,1750.0,5.26,7.89
4876,Revy's Vanilla Cream Soda,Cream Soda,12,750.0,4.13,6.2
4936,Revy's Cream Soda,Cream Soda,12,750.0,3.19,4.92
4947,Shinobu's Old Fashioned Cream Soda,Cream Soda,6,750.0,4.83,7.25
4949,Shinya's Old Fashioned Cream Soda,Cream Soda,6,750.0,3.61,5.42
4955,Shiro's Old Fashioned Cream Soda,Cream Soda,6,750.0,3.45,5.18
4959,Sawako's Old Fashioned Cream Soda,Cream Soda,6,750.0,3.97,5.96
4972,Satsuki's Watermelon Cream,Cream Soda,6,750.0,6.46,9.69
4973,Sawako's Watermelon Cream,Cream Soda,6,750.0,6.46,9.69
4977,Ria's Cream Soda,Cream Soda,6,750.0,8.19,12.28
4989,Ria's Watermelon Cream,Cream Soda,6,750.0,4.88,7.32
4993,Ria's Old Fashioned Cream Soda,Cream Soda,6,750.0,5.24,7.86
5004,Shinya's Watermelon Cream,Cream Soda,24,375.0,3.12,4.68
5006,Sawako's Vanilla Cream Soda,Cream Soda,12,750.0,4.57,6.85
5008,Sawako's Cream Soda,Cream Soda,6,1750.0,7.83,11.75
5012,Sebastian's Cream Soda,Cream Soda,12,750.0,8.23,12.35
5014,Sebastian's Watermelon Cream,Cream Soda,12,750.0,6.01,9.01
5034,Sebastian's Old Fashioned Cream Soda,Cream Soda,12,375.0,3.12,4.68
5036,Seijuurou's Old Fashioned Cream Soda,Cream Soda,12,750.0,4.67,7.01
5037,Seijuurou's Cream Soda,Cream Soda,12,1000.0,5.3,7.95
5038,Sebastian's Vanilla Cream Soda,Cream Soda,6,1750.0,7.13,10.7
5040,Seijuurou's Vanilla Cream Soda,Cream Soda,6,750.0,8.54,12.81
5061,Seira's Old Fashioned Cream Soda,Cream Soda,6,750.0,5.38,8.07
